feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Cytoplasm_Texture_DifferenceVariance_Mito_5_03_256,0.012462788343067037,0.5928066627742605,0.1401533438598352,0.2545772050228372,41592.30795855339,Cytoplasm,Texture,Mito
Cells_Texture_InverseDifferenceMoment_ER_5_02_256,0.015364897148346367,0.8512657095605904,0.051211840229966527,0.08215755306109684,8936.228968390504,Cells,Texture,ER
Image_Granularity_13_ER,0.09960088875448309,0.531542901128899,0.03854824287009135,0.33030796724652656,18160.714859020547,Image,Granularity,ER
Nuclei_Texture_Correlation_AGP_3_01_256,0.02728765705413857,0.823735635996507,0.0277773977176373,0.12119930923171723,5525.839736259294,Nuclei,Texture,AGP
Nuclei_Intensity_MinIntensityEdge_ER,0.0022764972331864026,0.9774276386076803,0.005700121277926525,0.014595742881206637,8854.63774704936,Nuclei,Intensity,ER
Cells_Texture_Entropy_AGP_3_00_256,0.007275881397246021,0.9066244295405126,0.04875791379552457,0.03734177526671672,22143.035078310164,Cells,Texture,AGP
Cytoplasm_Texture_InverseDifferenceMoment_RNA_5_00_256,0.00927999397464478,0.8896234033144272,0.025618532693611334,0.07547807001731677,9857.17654293673,Cytoplasm,Texture,RNA
Cytoplasm_Texture_DifferenceVariance_RNA_10_03_256,0.012373727657635761,0.7332138009428727,0.10454853422106263,0.14986393717842894,255773.85862195835,Cytoplasm,Texture,RNA
Cytoplasm_Texture_Correlation_ER_3_02_256,0.019943837914201963,0.7843616387675233,0.048836942054171474,0.14685758126410337,25381.56835130916,Cytoplasm,Texture,ER
Cells_Texture_InverseDifferenceMoment_RNA_3_00_256,0.008512782497360726,0.8927191700202397,0.022330812034258126,0.07643723544814146,9640.115827098101,Cells,Texture,RNA
Cytoplasm_Intensity_MaxIntensityEdge_AGP,0.012508964783626926,0.9238733294195483,0.013568066884467505,0.05004963891235737,5856.053737912765,Cytoplasm,Intensity,AGP
Cells_Texture_Entropy_Mito_10_00_256,0.020279086501053003,0.7875816242152472,0.0634039531166776,0.12873533616702215,7769.446123160222,Cells,Texture,Mito
Cytoplasm_Texture_Entropy_ER_10_01_256,0.00965628408207246,0.8928727736267257,0.04816007588861402,0.0493108664025879,10948.051676084384,Cytoplasm,Texture,ER
Image_Texture_SumVariance_Mito_3_01_256,0.007537478303367192,0.7413343682823595,0.0371597209609555,0.21396843245331776,35734.32472021079,Image,Texture,Mito
Cells_AreaShape_Zernike_3_3,0.1431144868831579,0.4212956778197349,0.020997797158301534,0.4145920381388056,15827.740675765492,Cells,AreaShape,
